"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"Strong Woman Do Bong Soon","Strong Woman Do Bong-soon,Powerful Woman Do Bong Soon,Himsseonyeoja Dobongsun,A Strong Woman Do Bongsoon,Strong Girl Do Bong Soon,Strong Girl Bong-soon","Feb 24, 2017 - Apr 15, 2017","Saturday,Friday","South Korea","67","16","Comedy,Action,Drama,Romance,Thriller,Supernatural","힘쎈여자 도봉순","jTBC","6","169","8.7","37618","Superhuman Strength,Strong Girl,Bromance,Amusement Park,Psychopath,Fluffy,Rich Man/Poor Woman,Bodyguard,Love Triangle,Strong Female Lead","58587"
"Eternal Love of Dream","Eternal Love,The Pillow Book,Three Worlds,San Sheng San Shi Zhen Shang Shu,Three Lives,三生三世枕上書","Jan 22, 2020 - Mar  5, 2020","Saturday,Friday,Thursday","China","45","56","Fantasy,Adventure,Friendship,Drama,Romance,Melodrama,Historical,Wuxia,Supernatural","三生三世枕上书","Tencent Video","809","170","8.9","637","Princess,Adapted From A Novel,Older Man/Younger Woman,Age Gap,Cold Man/Warm Woman,Nine-tailed Fox,Immortal,God,Xianxia,Love Triangle","5045"
"Chief Kim","Kim Gwajang,Kimgwajang,Mister Kim,Good manager","Jan 25, 2017 - Mar 30, 2017","Wednesday,Thursday","South Korea","60","20","Drama,Business,Comedy","김과장","KBS2","208","177","8.7","6482","Con Artist,Minimal Romance,Bromance,Smart Female Lead,Hilarious Male Lead,Character Development,Eccentric Male Lead,Smart Male Lead,Accountant,Strong Friendship","14995"
"Because This is My First Life","Ibeon Saengeun Cheoeumira,This Life is Our First,Yibun Saengeun Cheoeumira","Oct  9, 2017 - Nov 28, 2017","Monday,Tuesday","South Korea","70","16","Life,Romance,Comedy,Friendship","이번 생은 처음이라","tvN","51","176","8.7","17996","Marriage Of Convenience,Nerdy Male Lead,Poor Female Lead,Cohabitation,Writer,Contract Relationship,Sismance,Housemate,Socially Awkward Protagonist,Multiple Couples","30901"
"I Hear Your Voice","I Can Hear Your Voice,Neoui Moksoriga Deulleo,The Voice You Can't Hear","Jun  5, 2013 - Aug  1, 2013","Wednesday,Thursday","South Korea","60","18","Law,Drama,Romance,Mystery,Thriller,Supernatural","너의 목소리가 들려","SBS","15","181","8.7","27686","Mind Reading,Lawyer,Male Chases Female First,Older Woman/Younger Man,Revenge,Age Gap,Trauma,Amnesia,Strong Female Lead,Special Power","49149"
"Nirvana in Fire 2: The Wind Blows in Chang Lin","Nirvana In Fire Season 2: The Wind Blows in Chang Lin,Lang Ya Bang 2,Lang Ya Bang Zhi Feng Qi Chang Lin","Dec 18, 2017 - Feb 12, 2018","Monday,Wednesday,Tuesday","China","45","50","Martial Arts,Political,Family,Drama,Romance,War,Military,Historical,Wuxia","琅琊榜之风起长林","Dragon TV,BTV","1381","180","8.8","982","Royalty,Bromance,Coup D'etat,Death,Revenge,Scheme,Skilled Killer,Betrayal,Sword-fight,Power Struggle","3008"
"Go Back Couple","Confession Spouses,Confession Couple,Go Back Spouses","Oct 13, 2017 - Nov 18, 2017","Saturday,Friday","South Korea","70","12","School,Comedy,Life,Drama,Romance,Family,Supernatural","고백부부","KBS2","207","182","8.7","7774","Sassy Female Lead,1990s,Love–Hate Relationship,Adapted From A Manhwa,Student,Misunderstanding,Married Couple,Time Travel,Mother-Daughter Relationship,Marriage","15054"
"Jewel in the Palace","Dae Jang Geum,Great Jang Geum,Una joya en el palacio","Sep 15, 2003 - Mar 23, 2004","Monday,Tuesday","South Korea","65","54","Medical,Food,Drama,Romance,Melodrama,Historical","대장금","MBC","390","186","8.7","4687","Smart Female Lead,Cooking,Joseon Dynasty,Royal Physician,Royal Cook,Power Struggle,Strong Female Lead","9560"
"Bad Guys","Na ppeun nyeo seok deul,Bad Boys","Oct  4, 2014 - Dec 13, 2014","Saturday","South Korea","65","11","Action,Psychological,Investigation,Thriller,Crime","나쁜 녀석들","OCN","134","187","8.7","8561","Violence,Police,Team Work,Psychopath,Police Officer,Gangster,Smart Male Lead,Serial Killer,Death,Murder","19041"
"Kazoku Game","The Family Game","Apr 17, 2013 - Jun 19, 2013","Wednesday","Japan","46","10","School,Life,Psychological,Drama,Mystery,Family","家族ゲーム","Fuji TV","492","188","8.7","3070","Abuse,Adapted From A Novel,High School,Housewife Bullying,Arashi,Jealousy,Eccentric Male Lead,Mentor,Infidelity,Nikkan Daily Sports Drama GP","7809"
"Rebel: Thief Who Stole the People","Yeokjuk: Baeksungeul Hoomchin Dojuk,Rebel Hong Gil Dong,The Rebel,Traitor Hong Gil Dong,Yeokjeok Honggildong,역적 홍길동","Jan 30, 2017 - May 16, 2017","Monday,Tuesday","South Korea","60","30","Friendship,Political,Action,Drama,Romance,Melodrama,Thriller,Historical","역적: 백성을 훔친 도적","MBC","405","192","8.7","3081","Minimal Romance,Underdog,Bromance,Discrimination,Joseon Dynasty,Long Lost Sibling,Corruption,Smart Male Lead,Rebellion,Strong Male Lead","9237"
"Designated Survivor: 60 Days","60 Days,Designated Survivor,지정생존자,Jijeongsaengjonja,60-il - Jijeongsaengjonja","Jul  1, 2019 - Aug 20, 2019","Monday,Tuesday","South Korea","70","16","Suspense,Political,Drama","60일 - 지정생존자","tvN,Netflix","1263","191","8.8","1278","National Intelligence Service,Teamwork,Terrorism,National Assembly,Team Work,Conspiracy,Western Series Remake,Scheme,Power Struggle,Blue House","3329"
"Empress Ki","The Empress Ki,Battle of Flowers,Qi Empress,화투,Gi Hwang-hu,Hwatu","Oct 28, 2013 - Apr 29, 2014","Monday,Tuesday","South Korea","65","51","Tragedy,Political,Drama,Romance,Melodrama,Historical","기황후","MBC","118","193","8.7","8630","Royalty,Older Woman/Younger Man,Female Lead Action Scenes,Harem,Female Warrior,Cross-Dressing,Goryeo Dynasty,Love Triangle,Strong Female Lead,Power Struggle","20612"
"Cruel City","Undercover,Moojungdoshi,Heartless City,Eundeukobo","May 27, 2013 - Jul 30, 2013","Monday,Tuesday","South Korea","60","20","Suspense,Tragedy,Friendship,Action,Investigation,Romance,Detective,Crime","무정도시","jTBC","177","198","8.7","7163","Badass Male Lead,Drug Dealer,Bromance,Undercover Agent,Orphan Male Lead,Gang,Orphan Female Lead,Betrayal,Strong Male Lead,Strong Female Lead","16603"
"Tenno no Ryoriban","The Emperor's Cook,Emperor's Cook","Apr 26, 2015 - Jul 12, 2015","Sunday","Japan","55","12","","天皇の料理番","TBS","1262","199","0","0","Adapted From A Novel,French Cuisine,Royal Cook,Meiji Period,Chef,Based On True Story,Western Food,Taisho Period,Showa Era","3332"
"Guardian","Zhen Hun","Jun 13, 2018 - Jul 25, 2018","Wednesday,Thursday","China","45","40","Fantasy,Friendship,Investigation,Detective,Mystery","镇魂","Youku","662","205","8.7","2155","Strong Chemistry,Reincarnation,Supernatural Power,Bromance,Team Work,Adapted From A Novel,Lovers Separated,Censored Romance,Adapted From A Web Novel,Star Crossed Lovers","5982"
"Hot Stove League","Stopbrig,Seutobeuligeu,Seutobeurigeu,Stove League","Dec 13, 2019 - Feb 14, 2020","Saturday,Friday","South Korea","62","16","Drama,Sports,Melodrama","스토브리그","SBS","1465","203","8.8","972","Baseball,Team Work,Cold Man,Hardworking Male Lead,General Manager,Mature Protagonist,Successful Male Lead,Workplace,Hardworking Female Lead,Competent Protagonist","2824"
"Beautiful World","Areumdawoon Sesang,Areumdaun Sesang,A Beautiful World","Apr  5, 2019 - May 25, 2019","Saturday,Friday","South Korea","60","16","Suspense,School,Tragedy,Life,Drama,Investigation,Melodrama,Family","아름다운 세상","jTBC,Viki","1311","208","8.8","1017","Violence,Tearjerker,School Bullying,Student,Teacher,Sibling,Married Couple,Strong Female Lead","3197"
"Save Me","Rescue Me,Goohaejwoe","Aug  5, 2017 - Sep 24, 2017","Saturday,Sunday","South Korea","60","16","Suspense,Friendship,Action,Psychological,Drama,Mystery,Thriller","구해줘","OCN","195","209","8.7","6107","Odd Characters,Cult,Smart Female Lead,Adapted From A Webtoon,Dark Plot,Manipulative Character,Deception,Church,Strong Male Lead,Strong Female Lead","15667"
"Moon Lovers: Scarlet Heart Ryeo","Moon Lovers,Scarlet Heart: Ryeo,Scarlet Heart: Goryeo,Daleui Yeonin - bobogyeongsim Ryeo,Time Slip: Ryeo,Moon Lovers – Scarlet Heart: Ryeo,Dalui Yeonin - Bobogyungsim Ryeo","Aug 29, 2016 - Nov  1, 2016","Monday,Tuesday","South Korea","60","20","Tragedy,Political,Action,Drama,Romance,Melodrama,Historical","달의 연인 - 보보경심 려","SBS","18","211","8.7","26600","Love Triangle,Male Chases Female First,Adapted From A Novel,Reverse-Harem,Character Development,Gwangjong Of Goryeo,Time Travel,Goryeo Dynasty,Death,Power Struggle","46684"
"Le Coup de Foudre","I Only Like You,Wo Bu Xi Huan Zhe Shi Jie,I Don't Like This World,我不喜欢这世界，我只喜欢你,Love at First Sight,Wo Zhi Xi Huan Ni","Apr 29, 2019 - Jun  3, 2019","Monday,Wednesday,Tuesday","China","45","35","Business,Friendship,Life,Romance,Youth","我只喜欢你","Youku,Tencent Video","665","213","8.7","2655","Adapted From A Novel,High School,Sismance,Sibling,Friends To Lovers,Lovers Separated,High School To Working Life,Filmed Abroad,Multiple Couples,Marriage","5978"
"Circle","Sseokeul: Ieojin Du Segye,Sseokeul: Yieojin Doo Segye,Circle: Two Connected Worlds","May 22, 2017 - Jun 27, 2017","Monday,Tuesday","South Korea","60","12","Psychological,Investigation,Drama,Sci-Fi,Mystery","써클: 이어진 두 세계","tvN","200","216","8.7","5909","Scientist,Teamwork,Alien,Bromance,Smart Female Lead,Strong Friendship,Idol Actor,Future,Strong Female Lead,Calm Female Lead","15251"
"The King’s Avatar","Dian Shi Ju Quan Zhi Gao Shou,Full-time master,电视剧全职高手,Quan Zhi Gao Shou","Jul 24, 2019 - Aug 30, 2019","Saturday,Friday,Thursday","China","45","40","Fantasy,Adventure,Friendship,Action,Sports","全职高手","iQiyi","438","218","8.7","2688","Teamwork,Professional Gaming,Gamers,Online Gaming,Strong Female Characters,E-sport Industry,Game,Mature Protagonist,Strategist Gaming,Team Mates","8560"
"When the Camellia Blooms","Dong-baek-ggoch pil mu-ryeob,Dongbaekggoch Pil Muryeob,Dongbaekkkot pil muryeop,Dongbaek-kkot pil muryeop,Camellia Blooms,When Camellia Blooms,Dongbaekkkot pil mooryeob","Sep 18, 2019 - Nov 21, 2019","Wednesday,Thursday","South Korea","35","40","Comedy,Drama,Romance,Thriller,Family","동백꽃 필 무렵","Netflix,KBS2","327","215","8.7","4726","Male Chases Female First,Murder,Police Officer,Single Mother,Dorky Male Lead,Mother-Son Relationship,Mystery,Serial Killer,Hardworking Female Lead,Motherhood","11246"
"Be Melodramatic","여의도 스캔들,The Nature of a Melo,Melo Suits Me,Yeoeuido Scandal,Romance Is My Disposition,Melo is My Nature,Melloga Chejil","Aug  9, 2019 - Sep 28, 2019","Saturday,Friday","South Korea","65","16","Comedy,Friendship,Life,Romance,Melodrama","멜로가 체질","jTBC,Viki","622","219","8.7","2180","Entertainment Industry,Best Friends,Single Mother,Single Parent,Sismance,Housemate,Multiple Mains,Female Centered Plot,Multiple Couples,Strong Female Lead","6377"
"Romantic Doctor, Teacher Kim","Dr Romantic,The Romantic Doctor,Doctor Romantic,Good Things Get Better,Romantic Doctor Kim Sa Bu","Nov  7, 2016 - Jan 16, 2017","Monday,Tuesday","South Korea","60","20","Drama,Romance,Medical","낭만닥터 김사부","SBS","161","221","8.7","8485","Male Chases Female First,Hidden Identity,Strong Female Characters,Competent Boss,Hardworking Male Lead,Smart Male Lead,Doctor,Trauma,Hardworking Female Lead,Strong Female Lead","17555"
"2gether","2gether: The Series,Because we are together,คั่นกู","Feb 21, 2020 - May 15, 2020","Friday","Thailand","50","13","Drama,Romance,Comedy","เพราะเราคู่กัน","GMM 25","1216","195","8.9","679","Pretend Relationship,Gay Character,Adapted From A Novel,LGBTQ+,Multiple Couples","3447"
"Tonbi","","Jan 13, 2013 - Mar 17, 2013","Sunday","Japan","54","10","Drama,Family,Life","とんび","TBS","951","225","8.8","896","Father-Son Relationship,Death Of A Parent,Neighbours,Adapted From A Novel,Single Parent,Marriage Proposal,Shigematsu Kiyoshi,Nikkan Daily Sports Drama GP,Marriage","4305"
"He's Coming To Me","They're Celebrating Qingming Festival Next To My Grave","Mar  7, 2019 - Apr 25, 2019","Thursday","Thailand","65","8","Fantasy,Comedy,Friendship,Drama,Romance,Mystery,Supernatural","เขามาเชงเม้งข้างๆหลุมผมครับ","LINE TV","826","224","8.7","2209","Tragedy,Nice Male Lead,Adapted From A Novel,Ghost-seeing Male Lead,Gay Character,Ghost,Tragic Past,Love Triangle,Interspecies Romance,Gay Relationship","4931"
"Bpoop Phaeh Saniwaat","Bhuppae Sunniwat,Buppe San Nivas,Love Destiny,Buppesannivas","Feb 21, 2018 - Apr 11, 2018","Wednesday,Thursday","Thailand","110","15","Fantasy,Comedy,Political,Family,Drama,Romance,Historical,Supernatural","บุพเพสันนิวาส","Channel 3","1555","227","8.7","1343","Calm Male Lead,Sassy Female Lead,Fated Love,Reincarnation,Hidden Identity,Nice Male Lead,Cohabitation,Time Travel,Eccentric Female Lead,Strong Female Lead","2655"
"Why R U?","Why RU?,Why Are You: The Series,Why are you?,The One to Me,Why Are You The One,Why R U?: The Series","Jan 24, 2020 - Apr 10, 2020","Friday","Thailand","65","12","Romance,Fantasy,Friendship","เพราะรักใช่ป่าว","GMM One,LINE TV","895","238","8.8","961","Hate To Love,Comedy,Love–Hate Relationship,Adapted From A Novel,Gay Character,Hardworking Male Lead,Enemies To Lovers,LGBTQ+,Multiple Couples,Gay Relationship","4538"
"Love by Chance","Bangoen Rak,รักนี้บังเอิญคือคุณ,My Accidental Love is You","Aug  3, 2018 - Nov  9, 2018","Friday","Thailand","50","14","School,Friendship,Life,Romance,Youth","บังเอิญรัก","LINE TV,GMM 25","338","230","8.7","6752","Steamy Kiss,Adapted From A Novel,Gay Character,Multiple Mains,Step-siblings Love,LGBTQ+,Rich Male Lead,College Life,Multiple Couples,Gay Relationship","10833"
"Search: WWW","Geomsaekeoreul Ibryeokhaseyo: WWW,WWW,Type in Search Word: WWW,Search Query: WWW","Jun  5, 2019 - Jul 25, 2019","Wednesday,Thursday","South Korea","70","16","Business,Comedy,Friendship,Life,Drama,Romance,Family","검색어를 입력하세요: WWW","tvN","260","232","8.7","5614","Social Media,IT Industry,Smart Female Lead,Team Work,Older Woman/Younger Man,Independent Female Lead,Data Manipulation,Sismance,Female Centered Plot,Strong Female Lead","13163"
"Autumn's Concerto","Happiness,Xia Yi Zhan,Xing Fu,Next Stop","Oct  4, 2009 - Feb 28, 2010","Sunday","Taiwan","90","34","Drama,Romance,Family","下一站，幸福","TTV","194","234","8.7","8486","Love Triangle,Hidden Identity,Tearjerker,Male Chases Female First,Steamy Kiss,Liar Female Lead,University,Rich Man/Poor Woman,Amnesia,Forbidden Love","15675"
"Age of Youth 2","Youth Age 2,Hello,Cheongchunshidae 2,My Twenties! 2,Age of Youth Season 2,Chungchoonshidae 2","Aug 25, 2017 - Oct  7, 2017","Saturday,Friday","South Korea","60","14","Comedy,Friendship,Life,Drama,Romance,Youth,Mystery","청춘시대 2","jTBC","217","236","8.7","8460","College Life,Taller Woman/Shorter Man,Sismance,Housemate,Multiple Mains,Trauma,Female Centered Plot,Multiple Couples","14792"
"Arthdal Chronicles Part 3: The Prelude To All Legends","Aseudal,Part 3: Arth,The Prelude to All Legends,The Chronicles of Aseudal,Asdal Chronicles,The Asdal Chronicles,The Chronicles of Arthdal,Aseudal Yeondaegi,Asadal Chronicles","Sep  7, 2019 - Sep 22, 2019","Saturday,Sunday","South Korea","80","6","Fantasy,Political,Drama,Romance,Historical","아스달 연대기 Part 3 아스, 그 모든 전설의 서곡","tvN,Netflix","776","239","8.7","2718","Identical Twins,Supernatural Power,Execution,Gruesome Murder,Pre-produced,Revenge,War,Twins,Ambitious Lead,Power Struggle","5302"
"Soredemo, Ikite Yuku","Life Goes On,Still","Jul  7, 2011 - Sep 15, 2011","Thursday","Japan","54","11","Psychological,Drama,Family","それでも、生きてゆく","Fuji TV","1143","241","8.7","1064","Healing","3663"
"Together with Me","Together With Me,Together with Me the Series","Aug 24, 2017 - Oct  5, 2017","Wednesday,Thursday","Thailand","50","13","Life,Romance,Comedy,Friendship","Together with Me อกหักมารักกับผม","LINE TV","415","240","8.7","5519","Steamy Kiss,Teacher/student,Gay Character,Childhood Friends,Friends To Lovers,College Life,Love Triangle,Multiple Couples,Adapted From A Web Novel,Gay Relationship","8992"
"Go Go Squid!","Mi Zhi Dun You Yu,Qin Ai De,蜜汁炖鱿鱼,Dear love,Go! Go! Cinderella's Unrequited Love,亲爱的热爱的,親愛的. 熱愛的,Honey Stewed Squid,Re Ai De,Stewed Squid with Honey","Jul  9, 2019 - Jul 31, 2019","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","41","School,Business,Comedy,Friendship,Romance,Youth","亲爱的，热爱的","iQiyi,ZJTV,Dragon TV","387","242","8.7","4848","Dream,Adapted From A Novel,Love At First Sight,Older Man/Younger Woman,Age Gap,Cold Man/Warm Woman,Gaming,Female Chases Male First,Rivalry,Competent Protagonist","9659"
"Sotus S","","Dec  9, 2017 - Mar 10, 2018","Saturday","Thailand","45","13","Drama,School,Romance","Sotus S the Series","GMM One","471","244","8.7","4789","Gay Character,LGBTQ+,Workplace,Multiple Couples,Adapted From A Web Novel,Gay Relationship","8087"
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu","3 Nen A Kumi: Ima kara Mina-san wa,Hitojichi Desu,Mr. Hiiragi's Homeroom,Class 3A - All of You Are Hostages From Now On,Sannen A-gumi - imakara minasan wa,hitojichi desu -","Jan  6, 2019 - Mar 10, 2019","Sunday","Japan","54","10","Suspense,School,Friendship,Action,Psychological,Drama,Mystery","3年A組 ―今から皆さんは、人質です―","NTV","1174","245","8.7","1495","Life Lesson,Suicide,School Bullying,Hostage,Student,Teacher,High School,Eccentric Male Lead,Smart Male Lead,Death","3577"
"Queen Seon Duk","Seondeok Yeowang,善德女王,Seondeok Yeo Wang,The Great Queen Seondeok,Queen Seon Deok","May 25, 2009 - Dec 22, 2009","Monday,Tuesday","South Korea","65","62","Tragedy,Political,Drama,Romance,War,Historical","선덕여왕","MBC","488","246","8.7","3130","Hidden Identity,Coup D'etat,Smart Female Lead,Female Antagonist,Political Intrigue,Cross-Dressing,Throne Successor,Female Rivalry,Strong Female Lead,Power Struggle","7846"
